Malcolm Brogdon,53,65.18,-0.5039,1.9298,0.0922,0.466,0.0411,2.5566,-0.7328,-0.8035,-0.9836,"Was putting up elite numbers before Oladipo returned and then settled into a top-100 guy, which is where you can expect his output to hover around this season"
Mitchell Robinson,50,64.19,3.5354,-2.189,-1.7509,-0.5272,1.0234,-1.0844,0.0489,3.4576,1.031,"The Mitchell Robinson rollercoaster is set to continue for another season. The potential is there, but he needs to get better on the defensive end (and stop biting at every shot attempt)"
Al Horford,64,82.34,0.39,0.1512,-0.2995,-0.1318,1.0028,0.826,-0.2443,0.9496,0.2726,Has a chance to revive his career in OKC and should play a role as secondary ball facilitator in the starting line-up
Norman Powell,176,139.83,1.0312,0.9692,0.8179,0.4377,-0.5138,-0.4158,0.6595,-0.3409,0.0948,"Took a little longer to step-up his game, but he finally got there. Should be flirting with top-80 production if he continues to see 25+ minutes a game"
Wendell Carter Jr,136,136.18,1.6127,-0.5471,-1.5205,-0.0267,2.1578,-0.6518,0.0,1.6801,-0.3081,"A roto-friendly big man who can get you clean shooting percentages. Didn't play well under Boylen, but a better coach should be able to get more out of him"
Lauri Markkanen,98,107.73,-0.7836,1.1042,1.0252,0.7264,1.0028,-0.5001,0.0244,0.0243,-0.3555,Injuries and missed games continue to hurt Lauri's fantasy value. He could slide in drafts if people are only looking at his numbers from last season
Richaun Holmes,105,125.99,3.0354,0.0225,-1.7509,-0.3263,1.0111,-0.9046,-0.2443,1.534,0.5688,"Everybody's per-minute darling finally scored himself a starting role last season, but he won't be returning top 50 value again with Whiteside fighting him for minutes at C"
Mikal Bridges,113,129.71,0.4988,0.4153,0.0115,-0.3562,-0.1069,-0.2641,1.832,0.4626,0.0474,"I like what Mikal provides long-term as a 3&D specialist, and his offensive production has started trending in the right direction"
Eric Bledsoe,73,95.98,0.4947,0.4787,-0.3225,0.3718,0.0247,1.4834,0.4885,-0.2922,-1.0784,Has a chance to revive his career on the fast-paced Pelicans roster
Kevin Love,104,106.47,-0.1066,1.4412,0.9561,0.4676,1.27,0.1124,-0.9526,-0.5357,-0.8295,Missed games will continue to be an issue for Love heading into the season as he finds himself playing next to somebody who has a tendancy of stealing rebounds from teammates
Clint Capela,60,74.33,3.1627,-2.9408,-1.7509,-0.1789,2.4496,-0.6349,-0.171,2.508,-0.1067,Atlanta has suddenly become very deep at the big man spot
Zion Williamson,25,22.92,5.2764,-4.598,-1.2556,2.002,1.2536,0.0225,-0.0489,0.0487,-1.6946,"We're starting to see flashes of what he's capable of, and those flashes are of a top fantasy prospect. We may not see it this season, but the potential to be elite is there"
Bojan Bogdanovic,119,119.15,-0.2456,2.5282,1.6933,1.081,-0.2795,-0.2304,-0.9771,-1.047,-1.1139,"He can score, and he's doing that in Utah, but all of his value is tied to 3 categores (PTS, 3PM, FT%)"
